id_ets_seo_redirect;name;url;target;type;active;id_shop
91;;demi-bulles-demi-spheres-plexiglas-35/demi-bulle-plexi-diametre-500mm-456.html;https://www.plexi-cindar.com/produits-standards/576-demi-bulle-altuglas-plexiglas-setacryl-incolore-diametre-exterieur-500mm-avec-collerette.html;301;1;1
92;;echantillons-32/echantillon-blanc-opaque-3mm-altuglas-239.html;https://www.plexi-cindar.com/plexiglas-noir/367-pmma-coule-blanc-opaque-altuglas-100-47010-3mm.html;301;1;1
93;;pvc-expanse-4/pvc-expanse-blanc-4-mm-prix-au-145.html;https://www.plexi-cindar.com/pvc-expanse/515-pvc-expanse-blanc-2mm.html;301;1;1
94;;pupitres-plexiglas-30/pupitre-de-table-pmma-incolore-214.html;https://www.plexi-cindar.com/pupitres/544-pupitre-de-table-pmma-incolore.html;301;1;1
95;;pmma-coule-transparent-incolore-13/pmma-coule-incolore-plexiglas-20-46.html;https://www.plexi-cindar.com/plexiglas/430-pmma-coule-incolore-plexiglas-.html;301;1;1
96;;achat/cat-consommables-et-echantillons-41.html?tri=prix&sort=desc;https://www.plexi-cindar.com/35-produits-standards;301;1;1
97;;elements-de-vitrines-et-de-comptoirs-31/pare-haleine-ecran-de-protection-545.html;https://www.plexi-cindar.com/produits-standards/549-pare-haleine-370mm-de-hauteur-500mm-de-long.html;301;1;1
98;;polyester-apet-petg-3/petg-incolore-3-mm-prix-au-m--124.html;https://www.plexi-cindar.com/polyester/507-petg-incolore.html;301;1;1
99;;polycarbonate-incolore-uv-2-faces-21/pc-incolore-2-mm-prix-au-m--107.html;https://www.plexi-cindar.com/polycarbonate/488-polycarbonate-incolore-.html;301;1;1
100;;achat/cat-plexiglas-sur-mesure-1.html;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
101;;contacts.php;https://www.plexi-cindar.com/content/contact-plexi-cindar;301;1;1
102;;achat/cat-plaques-plastiques-sur-mesure-40.html?tri=nom_fr&sort=asc&page=7;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
103;;demi-bulles-demi-spheres-plexiglas-35/demi-bulle-altuglas-plexiglas-setacryl-352.html;https://www.plexi-cindar.com/produits-standards/568-demi-bulle-altuglas-plexiglas-setacryl-incolore-diametre-exterieur-350mm-avec-collerette.html;301;1;1
104;;echantillons-32/echantillon-petg-incolore-3mm-300.html;https://www.plexi-cindar.com/polyester/507-petg-incolore.html;301;1;1
105;;achat/cat-consommables-et-echantillons-41.html?tri=prix&sort=asc;https://www.plexi-cindar.com/35-produits-standards;301;1;1
106;;achat/cat-pmma-extrude-specifique-20.html?tri=nom_fr&sort=asc;https://www.plexi-cindar.com/19-plexiglas-fluorescent;301;1;1
107;;pmma-coule-opaque-15/pmma-coule-noir-altuglas-101-48000-72.html;https://www.plexi-cindar.com/plexiglas-noir/476-pmma-coule-noir-opaque-altuglas-101-48000-15mm.html;301;1;1
108;;achat/?tri=prix&sort=desc;https://www.plexi-cindar.com/;301;1;1
109;;polycarbonate-specifique-23/pc-incolore-mat-1-face-3-mm-prix-137.html;https://www.plexi-cindar.com/polycarbonate/490-polycarbonate-incolore-.html;301;1;1
110;;achat/?tri=nom_fr&sort=desc&page=7;https://www.plexi-cindar.com/;301;1;1
111;;colles-entretien-accessoires-28/lot-cleaner-polish-1-2-169.html;https://www.plexi-cindar.com/accessoires/626-lot-cleaner-polish-1-2-.html;301;1;1
112;;pmma-coule-diffusant-colore-33/pmma-coule-rouge-diffusant-altuglas-190.html;https://www.plexi-cindar.com/plexiglas-blanc/387-pmma-coule-rouge-diffusant-altuglas-100-22013.html;301;1;1
113;;pmma-coule-fluo-transparent-34/pmma-coule-jaune-fluo-transparent-288.html;https://www.plexi-cindar.com/plexiglas-teinte/405-pmma-coule-jaune-transparent-setacryl-1014.html;301;1;1
114;;achat/cat-plaques-plastiques-sur-mesure-40.html?tri=prix&sort=desc&page=3;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
115;;echantillons-32/echantillon-bleu-diffusant-3mm-240.html;https://www.plexi-cindar.com/plexiglas-blanc/379-pmma-coule-bleu-diffusant-altuglas-100-23008.html;301;1;1
116;;lire/nos-realisations-4/sablier-lumineux-alainpers-6.html;https://www.plexi-cindar.com/15-plexiglas-de-couleur;301;1;1
117;;achat/cat-plexiglas-sur-mesure-1.html?tri=nom_fr&sort=desc;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
118;;pmma-coule-fluo-transparent-34/pmma-coule-bleu-fluo-transparent-285.html;https://www.plexi-cindar.com/plexiglas-teinte/530-pmma-coule-bleu-fluo-transparent-setacryl-1161-3mm.html;301;1;1
